popularity,loudness,instrumentalness,danceability,audio_valence,liveness,acousticness,tempo
81,-7.516,0.00806,0.64,0.6629999999999999,0.152,0.201,132.77
67,-12.054,0.28,0.439,0.5329999999999999,0.228,0.273,145.942
70,-6.696000000000001,0.218,0.295,0.228,0.0996,0.000385,117.2
68,-9.818,0.0,0.623,0.948,0.0967,0.102,122.394
61,-6.18,0.0,0.735,0.688,0.106,0.255,118.441
56,-12.277,0.0325,0.412,0.653,0.177,0.255,85.824
59,-13.382,0.35,0.7040000000000001,0.73,0.14,0.22,117.472
71,-5.27,0.578,0.5329999999999999,0.486,0.0698,0.0087599999999999,108.9
73,-9.785,0.0,0.552,0.667,0.0501,0.352,112.442
72,-6.836,0.0,0.483,0.562,0.1889999999999999,0.7290000000000001,95.261
64,-13.126,0.0,0.451,0.298,0.1969999999999999,0.469,154.20600000000002
65,-8.124,2.72e-05,0.452,0.755,0.052,0.135,124.474
68,-9.835,0.0,0.491,0.971,0.0665,0.27,160.109
71,-5.787000000000001,2.1600000000000003e-05,0.413,0.44,0.0905,0.369,124.618
69,-8.766,0.0,0.537,0.452,0.245,0.0192,122.873
54,-13.856,0.0,0.436,0.49,0.294,0.165,107.386
66,-8.741,0.949,0.816,0.912,0.0899,0.767,136.83700000000002
58,-13.944,4.36e-05,0.556,0.588,0.28,0.505,126.534
52,-13.337,0.00057,0.252,0.816,0.325,0.00206,196.49400000000003
60,-7.13,0.0,0.5329999999999999,0.937,0.0729,0.2019999999999999,156.66299999999998
72,-12.59,6.57e-05,0.684,0.784,0.118,0.475,115.078
13,-8.566,0.0,0.599,0.95,0.521,0.7140000000000001,173.043
30,-7.564,0.000218,0.6990000000000001,0.728,0.0601,0.13,120.745
63,-9.526,0.0096,0.271,0.433,0.0999,0.044,86.762
37,-9.733,0.00037,0.456,0.657,0.268,0.462,138.377
74,-5.549,0.0,0.49,0.866,0.311,0.386,130.726
64,-9.791,0.0,0.364,0.598,0.251,0.451,79.987
38,-2.844,0.0,0.551,0.685,0.0884,0.498,136.862
51,-6.832000000000001,0.0125,0.36,0.341,0.147,0.792,83.865
63,-9.756,0.000177,0.423,0.5589999999999999,0.0889,0.0592,110.461
21,-7.275,0.727,0.6,0.6759999999999999,0.0672,0.047,137.375
62,-5.987,0.237,0.507,0.5660000000000001,0.372,0.0751,98.096
69,-9.302,0.0,0.504,0.654,0.321,0.408,132.411
53,-11.909,0.0894,0.528,0.44,0.0725,0.0252,122.872
63,-9.743,5.69e-05,0.494,0.6990000000000001,0.0469,0.2289999999999999,140.832
66,-7.962999999999999,0.0,0.552,0.7509999999999999,0.3389999999999999,0.218,138.591
67,-7.383999999999999,0.0771,0.505,0.764,0.295,0.0103,159.66899999999998
70,-7.67,0.000124,0.396,0.385,0.109,0.326,133.44899999999998
55,-6.619,0.0119,0.346,0.667,0.271,0.000242,165.03599999999997
74,-11.83,0.0,0.332,0.315,0.0886,0.879,96.529
66,-4.9910000000000005,0.497,0.195,0.173,0.0686,0.465,84.71
72,-12.621,0.000138,0.299,0.434,0.177,0.0748,139.539
68,-14.981,0.28,0.64,0.8009999999999999,0.0341,0.142,111.676
58,-6.504,2.95e-05,0.565,0.887,0.0637,0.0546,124.287
55,-10.997,4.3e-06,0.63,0.502,0.0974,0.225,143.942
71,-8.232999999999999,0.0,0.523,0.675,0.432,0.778,70.863
71,-5.916,1.05e-05,0.6409999999999999,0.942,0.0473,0.0543,89.787
59,-9.502,8.21e-06,0.35,0.162,0.104,0.758,96.685
67,-9.224,0.00021,0.407,0.71,0.241,0.0734,121.38
54,-4.495,0.0,0.5579999999999999,0.8859999999999999,0.815,0.8,132.075
57,-5.497000000000001,2.22e-06,0.593,0.962,0.047,0.105,148.959
70,-7.999,0.0,0.389,0.585,0.0828,0.887,171.86
57,-6.613,0.03,0.562,0.966,0.168,0.381,119.544
49,-17.271,0.00116,0.351,0.0329,0.123,0.285,104.551
67,-3.199,0.0,0.377,0.912,0.074,0.26,75.533
64,-9.366,0.494,0.4029999999999999,0.654,0.132,0.0746,97.161
80,-10.964,0.0,0.491,0.907,0.407,0.182,150.572
75,-8.277000000000001,0.039,0.634,0.489,0.17,0.447,118.628
63,-4.801,0.0128,0.425,0.769,0.1169999999999999,0.405,108.748
47,-13.913,1.65e-06,0.469,0.942,0.3389999999999999,0.595,147.878
70,-12.503,0.000273,0.551,0.322,0.0864,0.486,106.798
60,-9.621,0.00498,0.7040000000000001,0.972,0.0819999999999999,0.0356,141.655
66,-7.813,0.0,0.39,0.514,0.0663,0.36,144.338
61,-9.564,3.76e-05,0.456,0.639,0.444,0.513,120.336
67,-9.343,0.0,0.705,0.8029999999999999,0.389,0.365,112.035
38,-11.267,0.732,0.585,0.474,0.129,0.0176,109.309
53,-8.641,1.59e-05,0.3379999999999999,0.561,0.111,0.387,127.097
58,-9.948,0.0133,0.57,0.708,0.184,0.0154,127.957
68,-20.567,2.32e-05,0.38,0.44,0.0605,0.914,174.87400000000002
50,-9.574,6.28e-05,0.341,0.499,0.0917,0.184,102.886
14,-5.765,0.0,0.55,0.643,0.135,0.038,129.011
52,-6.733,0.0078599999999999,0.6459999999999999,0.711,0.178,0.528,129.378
49,-8.029,2.34e-06,0.601,0.503,0.451,0.395,128.168
54,-10.657,0.00244,0.421,0.574,0.0851,0.721,201.583
52,-7.011,0.0136,0.421,0.4029999999999999,0.0973,0.265,129.959
33,-7.035,0.0,0.4379999999999999,0.435,0.124,0.211,123.744
58,-15.572,0.000223,0.318,0.226,0.113,0.664,174.25400000000002
8,-6.309,0.0141,0.355,0.685,0.1889999999999999,0.000288,165.209
43,-8.453,0.0,0.555,0.602,0.123,0.1009999999999999,127.423
49,-7.997999999999999,0.0,0.341,0.412,0.31,0.354,147.60399999999998
30,-5.928999999999999,6.49e-06,0.68,0.8540000000000001,0.0754,0.0586,123.47
55,-5.626,0.0,0.506,0.934,0.0904,0.727,130.195
40,-11.925,0.21,0.3289999999999999,0.619,0.355,0.0565,142.625
42,-8.126,0.0007059999999999,0.65,0.4639999999999999,0.1369999999999999,0.441,110.646
62,-8.708,0.155,0.527,0.107,0.419,0.0229,120.722
16,-9.653,0.852,0.682,0.861,0.153,0.025,125.91
56,-10.492,0.136,0.364,0.37,0.503,0.21,130.602
42,-6.684,0.54,0.46,0.726,0.952,0.111,160.07299999999998
69,-14.892,0.0,0.615,0.249,0.114,0.4679999999999999,91.769
73,-13.243,0.0,0.63,0.623,0.0622,0.2189999999999999,84.37799999999999
77,-22.32,0.000223,0.414,0.423,0.1169999999999999,0.883,159.375
69,-13.843,1.19e-05,0.619,0.423,0.124,0.782,75.16
83,-9.484,0.000494,0.579,0.609,0.0575,0.0057399999999999,147.125
79,-15.523,0.0,0.711,0.1939999999999999,0.131,0.313,103.951
74,-8.18,6.69e-06,0.659,0.647,0.0784,0.157,106.186
76,-10.687,0.00056,0.475,0.387,0.11,0.367,93.503
64,-8.166,1.14e-05,0.601,0.8,0.216,0.579,147.964
53,-15.359000000000002,0.0267,0.695,0.445,0.0767,0.6809999999999999,91.681
71,-10.505,0.0,0.684,0.621,0.0643,0.578,116.002
54,-18.758,4.3700000000000005e-05,0.575,0.3339999999999999,0.228,0.841,77.464
72,-14.451,0.0299,0.62,0.868,0.0727,0.589,88.59100000000001
70,-10.433,0.0274,0.541,0.8029999999999999,0.099,0.1889999999999999,171.165
13,-13.338,6.28e-06,0.609,0.618,0.335,0.762,90.373
80,-9.031,1.44e-05,0.602,0.36,0.0941,0.386,136.637
77,-13.945,4.1e-06,0.446,0.298,0.0697,0.551,189.507
65,-7.723,0.00978,0.664,0.287,0.0838,0.743,112.52
64,-12.577,0.00642,0.28,0.2319999999999999,0.133,0.715,171.143
78,-8.904,0.0,0.5379999999999999,0.583,0.0867,0.0794,120.963
77,-17.18,0.0155,0.654,0.831,0.155,0.6859999999999999,123.179
76,-10.970999999999998,0.0,0.674,0.809,0.131,0.5660000000000001,110.578
78,-8.339,0.0,0.4429999999999999,0.41,0.111,0.631,143.46200000000002
34,-10.536,0.113,0.605,0.5429999999999999,0.0684,0.5589999999999999,129.44899999999998
71,-10.593,1.8e-06,0.626,0.7979999999999999,0.104,0.237,105.33
62,-10.446,1.28e-06,0.784,0.931,0.0684,0.763,106.957
69,-10.96,5.96e-05,0.4529999999999999,0.6579999999999999,0.152,0.302,93.19
60,-12.402,6.96e-05,0.603,0.179,0.147,0.68,122.631
64,-15.435,0.166,0.456,0.491,0.142,0.851,82.321
59,-10.061,1.7800000000000002e-05,0.6609999999999999,0.7759999999999999,0.0953,0.621,127.266
55,-15.913,0.045,0.503,0.522,0.0867,0.943,78.044
67,-13.697,0.000375,0.502,0.435,0.3329999999999999,0.856,127.182
71,-14.59,0.00606,0.713,0.56,0.0967,0.877,98.805
66,-11.788,8.68e-05,0.257,0.858,0.0702,0.361,152.126
