popularity,loudness,instrumentalness,danceability,audio_valence,liveness,acousticness,tempo
71,-5.916,1.05e-05,0.6409999999999999,0.942,0.0473,0.0543,89.787
80,-10.964,0.0,0.491,0.907,0.407,0.182,150.572
75,-8.277000000000001,0.039,0.634,0.489,0.17,0.447,118.628
73,-13.243,0.0,0.63,0.623,0.0622,0.2189999999999999,84.37799999999999
77,-22.32,0.000223,0.414,0.423,0.1169999999999999,0.883,159.375
83,-9.484,0.000494,0.579,0.609,0.0575,0.0057399999999999,147.125
79,-15.523,0.0,0.711,0.1939999999999999,0.131,0.313,103.951
74,-8.18,6.69e-06,0.659,0.647,0.0784,0.157,106.186
76,-10.687,0.00056,0.475,0.387,0.11,0.367,93.503
71,-10.505,0.0,0.684,0.621,0.0643,0.578,116.002
72,-14.451,0.0299,0.62,0.868,0.0727,0.589,88.59100000000001
80,-9.031,1.44e-05,0.602,0.36,0.0941,0.386,136.637
77,-13.945,4.1e-06,0.446,0.298,0.0697,0.551,189.507
78,-8.904,0.0,0.5379999999999999,0.583,0.0867,0.0794,120.963
77,-17.18,0.0155,0.654,0.831,0.155,0.6859999999999999,123.179
76,-10.970999999999998,0.0,0.674,0.809,0.131,0.5660000000000001,110.578
78,-8.339,0.0,0.4429999999999999,0.41,0.111,0.631,143.46200000000002
71,-10.593,1.8e-06,0.626,0.7979999999999999,0.104,0.237,105.33
71,-14.59,0.00606,0.713,0.56,0.0967,0.877,98.805
75,-9.396,0.0002839999999999,0.483,0.598,0.1159999999999999,0.354,151.862
77,-12.358,0.183,0.547,0.1689999999999999,0.0935,0.907,75.752
71,-14.635,7.7e-05,0.442,0.216,0.0539,0.639,123.281
72,-6.364,0.0,0.583,0.3879999999999999,0.22,0.368,74.008
80,-12.049,0.0032,0.3379999999999999,0.1969999999999999,0.1159999999999999,0.58,82.43299999999999
71,-7.34,0.0,0.6509999999999999,0.7759999999999999,0.0825,0.123,133.763
74,-11.729,0.0138,0.5489999999999999,0.716,0.11,0.25,103.885
74,-5.819,0.0,0.657,0.888,0.047,0.0551,144.751
79,-10.057,9.08e-05,0.307,0.2239999999999999,0.332,0.3879999999999999,160.9
83,-4.793,0.00173,0.573,0.422,0.156,0.0591,115.715
71,-8.121,0.00018,0.252,0.351,0.084,0.0765,118.158
72,-7.842,0.0314,0.437,0.7490000000000001,0.242,0.396,81.39399999999999
72,-5.988,0.000127,0.55,0.777,0.366,0.4479999999999999,114.512
75,-12.595,0.308,0.472,0.171,0.0837,0.15,127.167
71,-4.199,2.05e-05,0.27,0.606,0.1159999999999999,0.00501,146.347
74,-3.743,0.332,0.3939999999999999,0.479,0.309,0.584,115.646
74,-10.893,0.0,0.527,0.497,0.144,0.6,138.317
74,-9.803,0.000252,0.445,0.768,0.205,0.2339999999999999,80.82300000000001
71,-10.613,1.03e-05,0.653,0.894,0.0754,0.0114,108.705
75,-9.618,3.78e-06,0.424,0.794,0.16,0.3939999999999999,165.158
71,-7.282,0.0,0.6920000000000001,0.51,0.4,0.688,81.4
74,-16.729,0.000202,0.575,0.385,0.0934,0.6829999999999999,104.522
76,-8.55,0.0002109999999999,0.3329999999999999,0.382,0.297,0.0029,141.47
80,-9.744,0.00428,0.828,0.789,0.128,0.0644,120.151
72,-14.48,7.84e-06,0.611,0.36,0.0844,0.499,76.064
75,-8.373,0.186,0.494,0.156,0.283,0.287,117.312
74,-9.558,0.00125,0.586,0.897,0.0318,0.0589,147.245
73,-8.015,6.29e-06,0.6679999999999999,0.778,0.527,0.238,132.584
72,-13.553,0.105,0.547,0.667,0.144,0.015,137.148
73,-3.822,0.00065,0.787,0.8370000000000001,0.0387,0.387,100.61
75,-5.735,8.859999999999999e-05,0.483,0.7929999999999999,0.446,0.00316,126.748
72,-5.358,0.0096,0.531,0.471,0.263,0.0694,90.767
72,-13.061,0.177,0.513,0.2289999999999999,0.11,0.251,140.208
72,-7.246,6.94e-05,0.667,0.883,0.0523,0.0966,109.535
73,-8.642000000000001,0.00778,0.2739999999999999,0.497,0.218,0.0214,100.346
73,-5.436,4.75e-05,0.527,0.4629999999999999,0.0744,0.00124,141.16899999999998
